stop_id,stop_code,stop_name,stop_lat,stop_lon
433,300,"Linda Vista Ave & Afton St",34.167462,-118.176722
434,331,"Linda Vista Ave & Linda Vista Way",34.165611,-118.175853
435,301,"Linda Vista Ave & El Mirador Dr",34.165282,-118.175838
436,302,"Linda Vista Ave & Charles St",34.164013,-118.175278
437,330,"Linda Vista Ave & Charles St",34.163573,-118.174966
438,329,"Linda Vista Ave & Chula Vista Pl",34.160784,-118.173768
439,303,"Linda Vista Ave & Rancheros Rd",34.160606,-118.173792
440,328,"Linda Vista Ave & Heatherside Rd",34.157886,-118.172229
441,304,"Linda Vista Ave & Heatherside Rd",34.157853,-118.172342
442,327,"Linda Vista Ave & Linda Gln Dr",34.155088,-118.171048
443,305,"Linda Vista Ave & Linda Gln Dr",34.154948,-118.171063
444,306,"Seco St & Linda Vista Ave",34.153376,-118.167786
445,325,"Seco St & Arroyo Blvd",34.156428,-118.167219
446,9543,"Seco St & Arroyo Blvd",34.156318,-118.166234
447,324,"Seco St & Rosemont Ave",34.157512,-118.164642
448,323,"Seco St & Lincoln Ave",34.161981,-118.160450
451,322,"City of Pasadena Maintenance Yards",34.162178,-118.157242
452,321,"Mountain St & Sunset Ave",34.161368,-118.153908
453,310,"Mountain St & Sunset Ave",34.161234,-118.153723
454,9511,"Mountain St & Fair Oaks Ave",34.161569,-118.151056
459,326,"Seco St & Linda Vista Ave",34.153257,-118.168135
460,308,"Seco St & Rosemont Ave",34.157434,-118.164267
461,309,"Mountain St & I-210",34.162021,-118.158091
462,2707,"JPL",34.197933,-118.175194
474,5231,"Lake Ave & California Blvd",34.136257,-118.132167
475,13681,"Lake Ave & San Pasqual St",34.137482,-118.132392
476,5234,"Lake Ave & San Pasqual St",34.138119,-118.132179
498,9752,"California Blvd & Hudson Ave",34.135945,-118.134063
499,9033,"California Blvd & El Molino Ave",34.135792,-118.136327
500,9758,"California Blvd & El Molino Ave",34.135926,-118.137085
501,9023,"California Blvd & Los Robles Ave",34.135750,-118.141006
502,9767,"California Blvd & Los Robles Ave",34.135888,-118.141726
503,9022,"California Blvd & Marengo Ave",34.135739,-118.145543
505,9010,"California Blvd & Arroyo Pkwy",34.135690,-118.146872
520,9388,"Green St & Orange Grove Blvd",34.144625,-118.159556
521,2,"Green St & Terrace Dr",34.144648,-118.157476
524,9381,"Green St & Arroyo Pkwy",34.144441,-118.147870
531,13129,"Arroyo Pkwy & California Blvd",34.135415,-118.147491
532,140938,"Arroyo Pkwy & Fillmore St",34.132730,-118.147430
533,461,"Arroyo Pkwy & Fillmore St",34.133233,-118.147176
534,8734,"Arroyo Pkwy & Glenarm St",34.127674,-118.147432
535,135,"Arroyo Pkwy & Glenarm St",34.128463,-118.147135
536,142018,"Raymond Ave & Glenarm St",34.128138,-118.148639
538,272,"Marengo Ave & Holly St",34.147978,-118.145849
539,93,"Marengo Ave & Corson St",34.151529,-118.145848
540,121,"Marengo Ave & Corson St",34.151461,-118.146148
541,120,"Marengo Ave & Villa St",34.153880,-118.146113
542,9456,"Marengo Ave & Villa St",34.154406,-118.145927
543,9475,"Marengo Ave & Orange Grove Blvd",34.157524,-118.146147
544,95,"Orange Grove Blvd & Marengo Ave",34.157928,-118.146388
545,118,"Orange Grove Blvd & Raymond Ave",34.157742,-118.149318
569,9746,"California Blvd & Lake Ave",34.135952,-118.132671
570,9946,"Raymond Ave & Holly St",34.147754,-118.149024
574,125,"Raymond Ave & Green St",34.144230,-118.148967
575,9800,"Raymond Ave & Green St",34.144471,-118.148759
576,2439,"Raymond Ave & Union St",34.146497,-118.148916
577,9809,"Raymond Ave & Union St",34.146753,-118.148872
579,501,"Raymond Ave & Del Mar Blvd",34.141434,-118.148956
580,4673,"Raymond Ave & Del Mar Blvd",34.141778,-118.148766
582,412,"Allen Ave & Maple St",34.153350,-118.113000
584,9706,"Maple St & Allen Ave",34.153050,-118.114000
588,1844,"Fair Oaks Ave & Glenarm St",34.127882,-118.150211
589,83,"Fair Oaks Ave & Hurlbut St",34.130029,-118.150212
590,4961,"Fair Oaks Ave & Bellefontaine St",34.131840,-118.150230
591,4955,"Fair Oaks Ave & Congress St",34.134295,-118.150232
592,4957,"Fair Oaks Ave & California Blvd",34.136317,-118.150243
593,4956,"Fair Oaks Ave & Bellevue Dr",34.138707,-118.150268
594,92,"Walnut St & Raymond Ave",34.149418,-118.148002
595,3470,"Fair Oaks Ave & Orange Grove Blvd",34.158114,-118.150440
596,1848,"Fair Oaks Ave & Painter St",34.159810,-118.150474
597,3482,"Fair Oaks Ave & Mountain St",34.161624,-118.150460
598,3473,"Fair Oaks Ave & Jackie Robinson Ctr",34.163632,-118.150475
599,18015,"Fair Oaks Ave & Hammond St",34.165043,-118.150512
600,1843,"Fair Oaks Ave & Claremont St",34.167148,-118.150532
601,10393,"Fair Oaks Ave & Claremont St",34.166512,-118.150782
602,18016,"Fair Oaks Ave & Hammond St",34.164864,-118.150775
603,11965,"Fair Oaks Ave & Jackie Robinson Ctr",34.163397,-118.150767
604,11972,"Fair Oaks Ave & Mountain St",34.161181,-118.150723
605,11980,"Fair Oaks Ave & Yale St",34.160005,-118.150730
606,1708,"Walnut St & Marengo Ave",34.149662,-118.146329
607,13403,"Fair Oaks Ave & Del Mar Blvd",34.140331,-118.150568
608,13401,"Fair Oaks Ave & Bellevue Dr",34.138051,-118.150541
609,13402,"Fair Oaks Ave & California Blvd",34.135361,-118.150514
610,10394,"Fair Oaks Ave & Congress St",34.133798,-118.150507
611,10392,"Fair Oaks Ave & Bellefontaine St",34.131295,-118.150484
612,132,"Fair Oaks Ave & Hurlbut St",34.129798,-118.150459
614,267,"Villa St & Madison Ave",34.154305,-118.138604
615,12255,"Los Robles Ave & Villa St",34.153966,-118.141631
616,11543,"Los Robles Ave & Maple St",34.152239,-118.141639
617,1707,"Walnut St & Los Robles Ave",34.149662,-118.141792
618,1706,"Walnut St & Garfield Ave",34.149641,-118.144049
619,10263,"Walnut St & Marengo Ave",34.149410,-118.145670
620,10262,"Walnut St & Garfield Ave",34.149378,-118.144008
621,3760,"Los Robles Ave & Walnut St",34.149826,-118.141292
622,3757,"Los Robles Ave & Villa St",34.154022,-118.141329
623,277,"Villa St & Madison Ave",34.154116,-118.138183
624,278,"Villa St between Maple Way & Lake Ave",34.154209,-118.134354
625,11962,"Fair Oaks Ave & Orange Grove Blvd",34.157500,-118.150706
626,11958,"Fair Oaks Ave & Villa St",34.154328,-118.150690
627,10261,"Walnut St & Fair Oaks Ave",34.149446,-118.150189
628,140939,"Raymond Ave & Fillmore St",34.133375,-118.148683
629,4672,"Raymond Ave & California Blvd",34.136342,-118.148691
630,1709,"Walnut St & Raymond Ave",34.149605,-118.149143
631,3464,"Fair Oaks Ave & Corson St",34.150840,-118.150335
632,3466,"Fair Oaks Ave & Villa St",34.154289,-118.150423
633,1850,"Glenarm St & Fair Oaks Ave",34.127464,-118.149878
634,3056,"Los Robles Ave & Maple St",34.152300,-118.141400
635,3348,"Washington Blvd & Altadena Dr",34.169241,-118.098614
636,760,"Lake Ave & Colorado Blvd",34.146379,-118.132198
637,11821,"Allen Ave & Corson St",34.151371,-118.113334
638,11825,"Allen Ave & Walnut St",34.149136,-118.113297
639,9843,"Colorado Blvd & Arroyo Pkwy",34.145916,-118.148020
641,9867,"Colorado Blvd &  Raymond Ave",34.145891,-118.149191
643,3340,"Allen Ave & Walnut St",34.150083,-118.113039
644,9070,"Corson St & Sierra Bonita Ave",34.151741,-118.116919
646,13677,"Lake Ave & Cordova St",34.142208,-118.132469
647,13680,"Lake Ave & Green St",34.144342,-118.132491
649,3667,"Lake Ave & Maple St",34.152154,-118.132127
650,16445,"Washington Blvd & Glen Ave",34.169278,-118.156191
651,1618,"Orange Grove Blvd & Sierra Madre Villa Ave",34.157779,-118.081849
653,10170,"Orange Grove Blvd & Sierra Madre Villa Ave",34.157987,-118.081989
658,418,"Pasadena Ave & Colorado Blvd",34.145614,-118.154076
669,1271,"Altadena Dr & Orange Grove Blvd",34.158759,-118.098338
673,413,"Kinneloa Ave & Foothill Blvd",34.149508,-118.086388
683,428,"Bonnie Ave & Colorado Blvd",34.145325,-118.115606
687,429,"Marengo Ave & Green St",34.145105,-118.145854
688,431,"Mountain St & Lincoln Ave",34.162107,-118.159598
689,9811,"Raymond Ave & Holly St",34.148206,-118.148841
